# Critical Strike Table 4.9 — Subdual
# Transcribed from author-supplied PDF (X:\RMFRPSuite\subdual_crit.pdf).
#
@name:           Subdual
@table_number:   4.9
@crit_type_code:
@notes:
@column_axis:    severity
#
01-05 | A | Your concern for damaging foe hinders you. | +0H
01-05 | B | Your attempt is poorly planned. | +0H
01-05 | C | Your concern for foe is heart warming. | +0H
01-05 | D | Nothing graceful about this attack. Foe does not even flinch. | +1H
01-05 | E | Strike to neck pinches a nerve. What did you do to him? Foe is unconscious. | +3H
06-10 | A | You pull your punch. | +0H
06-10 | B | You're being too delicate. Bust him! | +1H
06-10 | C | You will need to make a fist. | +1H
06-10 | D | Pow! Right in the kisser. | +2H
06-10 | E | You simply hit foe in the face. | +3H
11-15 | A | Mishandle strike. Try again. | +1H
11-15 | B | Your strike lands on foe's shoulder. Attack is of little profit. | +1H
11-15 | C | Blow to foe's chest. If foe is 2 feet tall or shorter, he is unconscious. | +2H
11-15 | D | Blow to foe's chest. If foe is 3 feet tall or shorter, he is unconscious. | +3H
11-15 | E | Boom! Crash! Pow! Crack! It looked impressive. | +3H
16-20 | A | Foe's guard comes up and blocks your assault. | +1H – π
16-20 | B | You attempt to kick foe in groin. You miss, but the threat is enough. | +2H – π
16-20 | C | Side strike unbalances foe. He will recover quickly. | +4H – π
16-20 | D | Blow to foe's side sends him reeling. He recovers and gets his guard up. | +3H – π – 4(-10)
16-20 | E | Strike to foe's side. Cheap shot, executed with grace. | +3H – 4(-25)
21-35 | A | Awkward positioning spoils your strike. | +1H – π
21-35 | B | You miss foe's head and strike his shoulder. He is unbalanced. | +2H – 2(-20)
21-35 | C | Chest strike. He almost falls, but foe grabs you for balance. Ooops! | +3H – ∑
21-35 | D | You trip foe and slam his shin. Simple, yet effective. | +6H – 2∑
21-35 | E | Foe leaves himself open. Your strike hits his side and breaks some ribs. | +3H – ∑ – (-10)
36-45 | A | Move in close. You gain the initiative next round. | +2H
36-45 | B | Blow lands on foe's shield hand. You gain the initiative. | +3H – (-5)
36-45 | C | You entangle foe's legs, but he breaks free. You push him clear. | +5H – 3∑ – 3(-10)
36-45 | D | Step on foe's foot and try to push him over. You gain the initiative next round. | +3H – 2(-25)
36-45 | E | You experiment with a knee strike to foe. It fails to be very effective. | +6H – 2∑
46-50 | A | Strike to foe's chest. He is having some trouble. | +2H – 3(-10)
46-50 | B | Back strike. Your position is better. Foe seeks to keep you at bay. | +3H – ∑ – 2π
46-50 | C | Lower back strike sends foe reeling. He needs another shot to the kidneys. | +5H – ∑∏
46-50 | D | Back strike adds insult to the injury. Foe spins around to face you. | +3H – ∑∏
46-50 | E | Hard shot to foe's side causes a pain generated panic. His guard is down. | +7H – ∑∏
51-55 | A | Strike falls on foe's leg. He shakes it off. | +2H – ∑
51-55 | B | Your strike was less than you hoped. It still disorients your foe. | +3H – ∑
51-55 | C | Hammer foe's thigh. Pain is in his eyes. Bruise muscles. | +4H – ∑∏ – (-10)
51-55 | D | Chest strike causes deep bruise. Foe grabs at the pain in his chest. | +5H – ∑∏
51-55 | E | Chest wound knocks foe down. He lands on his back. He looks to be recovering. | +8H – ∑∏ – 3(-10)
56-60 | A | Blow lightly strikes foe's head. He puts you at bay with a masterful turn. | +3H – 6(-10)
56-60 | B | Shoulder strike lands lightly. You put more shove into it than strike. Foe is frantic to regain his balance. | +3H – π – 4(-10)
56-60 | C | Good strike. Foe has trouble getting his act together. He stumbles around for some time trying to defend himself. | +4H – 4∑π – (-10)
56-60 | D | Hard blow to foe's thigh. Foe falls down, but rebounds to his feet. You had hoped he would stay down. | +5H – 2∑
56-60 | E | Solid and strong, you bash foe in his stomach. He recoils 10 feet from you. He keeps his footing. | +8H – 3∑ – ∏
61-65 | A | Backhand to foe's side. He steps 5 feet to the right, avoiding your reach. | +3H – ∑
61-65 | B | Hard blow to foe's side. He is weakened by the pain. He doubles over in response to the assault. | +6H – ∑ – 4(-30)
61-65 | C | You grip foe's arm and shake it until he drops his weapon. Foe kicks himself free. At least you disarmed him. | +1H
61-65 | D | Catch foe in the middle of a swing. He drops his weapon and grips his arm. His forearm has a huge bruise. | +5H – 2∑∏ – (+20)
61-65 | E | Solid and effective, your blow lands on foe's neck. A nerve is pinched. Foe falls unconscious for 3 hours. | +10H – 2∑∏ – (-20)
66 | A | Classic shot between foe's shoulder blades. He hurts. | +9H – 2∑∏ – 4(-10)
66 | B | Grab foe's weapon arm and force it the wrong way. Foe is disarmed. Elbow is strained. | +12H – 2∑∏ – (-20)
66 | C | Bring foe down to his knees and slam his head down. He is virtually unconscious. He is yours. Finish him. | +12H – 10∑∏ – 6(-80)
66 | D | Solid strike to foe's head. The strike is enough to knock foe out. He falls down and out for 6 hours. | +15H – 6∑
66 | E | Brutal, but effective shot to foe's face. His head snaps back and then flops forward. He falls unconscious. | +24H – (-20)
67-70 | A | Chest strike is solid. Knock the wind out of your foe. He struggles to evade. | +3H – 3(-20)
67-70 | B | Strong forearm assault drives foe back off his footing. He slips down to one knee. | +5H – 4∑∏ – 4(-40)
67-70 | C | Strong blow to foe's chest breaks ribs. Your attack has little grace. Foe looks to be devastated. | +5H – 2∑ – (-20)
67-70 | D | Smash foe's shoulder, breaking it. Arm is useless. Foe struggles to stand. The pain is too much for him. | +6H – 2∑∏ – (-35)
