# Critical Strike Table 4.12 — Unbalancing
# Transcribed from author-supplied PDF (X:\RMFRPSuite\unbalance_crit.pdf).
#
@name:           Unbalancing
@table_number:   4.12
@crit_type_code: U
@notes:
@column_axis:    severity
#
01-05 | A | You and your foe both stumble. | +0H
01-05 | B | You lunge 5 feet past your foe. | +0H
01-05 | C | Try again. What will your friends say? | +0H
01-05 | D | "You're not very good, are you?" | +1H
01-05 | E | You made a good sound effect. | +2H
06-10 | A | Foe recognizes this assault from grade school. | +0H
06-10 | B | Your opponent stands firmly in front of you. | +1H
06-10 | C | When your attempt starts to fail, you slip in a punch. | +2H
06-10 | D | Your grip is neither firm or effective. Foe breaks free. | +3H
06-10 | E | It is solid, even if randomly placed. | +5H
11-15 | A | Powerful strike fails to land solid. It still does some damage. | +3H
11-15 | B | Weak side strike glances off kidneys. It could have been great. | +4H
11-15 | C | Knuckle foe's arm. You will need to do better than this. | +5H
11-15 | D | Back strike. It has little imagination. You might as well punch. | +6H
11-15 | E | Strike lands on shoulder blade. | +7H
16-20 | A | Foe seeks to push you away. He lashes out in defensive manner. | +4H – π
16-20 | B | Glancing side blow. You unbalance your foe. He recovers quickly. | +4H – π
16-20 | C | Strike side. Foe moves back to block your next attack. | +5H – π
16-20 | D | Blow to foe's side sends him reeling. Foe checks wound for the damage. | +7H – (-10)
16-20 | E | Blow to foe's side unbalances him and destroys equipment there. | +8H – 1(-20)
21-35 | A | On line strike, but weak. Foe steps back and feigns an attack to draw off your assault. | +4H – π
21-35 | B | Your strike makes foe's footing uncertain. He pushes you clear and begins to right himself. | +5H – 1(-20)
21-35 | C | Shot to foe's chest. His lungs hesitate. He coughs it off and regains his footing. | +6H – ∑
21-35 | D | Quick shot to chest causes foe to hesitate in pain. He still knows you're there. | +8H – ∑
21-35 | E | Crack! Foe's rib reports damage to him in an unsubtle way. He is in pain. | +9H – ∑ – 1(-10)
36-45 | A | Light bash breaks foe's focus. You have the initiative next round. | +4H
36-45 | B | You salvage your attack by tripping foe. You have the initiative next round. | +5H – 2(-5)
36-45 | C | Grab foe's shoulder, while you bring your knee up to knock him over. | +5H – 1(-40)
36-45 | D | Strike to calf. Wound impairs foe's movements. You have the initiative. | +7H – (-25)
36-45 | E | Hard glancing blow to foe's leg. | +12H | with leg armor
36-45 | E | Hard glancing blow to foe's leg. | +8H – 2∑ | without leg armor
46-50 | A | Attempt to spin foe around almost succeeds. Weak grip to side. | +5H – π(-10)
46-50 | B | Your assault threatens to succeed. Your foe goes defensive to avoid your attack. | +5H – π(-20)
46-50 | C | Boom! Foe is hit in the face. He reels back 5 feet trying to regain his footing. His guard is down. | +6H – ∑∏
46-50 | D | Double strike to both arms breaks foe's defense. He is open to attack and is having trouble recovering. | +8H – ∑∏
46-50 | E | Shot in back staggers foe for an instant. His guard drops and he is sadly unprotected. | +12H – ∑∏
51-55 | A | Firm press to foe's chest. He gives ground happily. Watch his weapon. | +5H – π(-20)
51-55 | B | Grab foe and bring knee up to cause damage. Foe blocks some of the force. | +5H – ∑
51-55 | C | Push foe's knee backwards. Foe struggles to avoid the pain. | +6H – ∑∏
51-55 | D | Strike to chest takes wind out of foe. Foe's guard goes down. | +10H – ∑∏
51-55 | E | Knock foe over as if he was a sack of beans. He hits and starts to stand up. | +12H – ∑∏
56-60 | A | Strike thigh. Foe is pushed back. | +7H | with thigh armor
56-60 | A | Strike thigh. Foe is pushed back. | +5H – ∑ | without thigh armor
56-60 | B | Foe bumps his thigh while blocking your attack. He steps back. | +6H – π(-30)
56-60 | C | Skipping calf strike. Foe does not give ground. | +9H | with leg armor
56-60 | C | Skipping calf strike. Foe does not give ground. | +7H – 2∑ – (-10) | without leg armor
56-60 | D | Miss foe's side and strike his thigh. You have initiative for 3 rounds. | +12H – 2∑
56-60 | E | Strike causes foe to fumble his stride. He almost falls down. Foe is recovering. | +14H – 3∑
61-65 | A | Foe's arm is pinned for a moment. He recovers by twisting you off. | +6H – ∑
61-65 | B | Bend weapon arm in the wrong direction. Foe drops his weapon. | +6H
61-65 | C | Excellent placement. Strike to weapon arm disarms foe. Foe is in great peril. | +6H – 2∑
61-65 | D | You catch foe's counter thrust and disarm him with a bash to the arm. | +7H – 2∑ – (+20)
61-65 | E | Bash foe in shoulder making him spin. You push him for good measure. | +13H – 2∑∏
