# Critical Strike Table 6.5-LN — Large (Normal Spell)
# Source: Rolemaster Fantasy Roleplaying — Spell Law (ERA: spell_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Normal Spell)
@table_number:   6.5-LN
@crit_type_code: 
@notes:          Source ERA: rmfrpSpellLaw.criticals.era; variant abbreviation 'LMN'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
01-05 | B | Your karma is not strong enough to damage such a beast. | +0H
01-05 | C | Your karma is not strong enough to damage such a beast. | +0H
01-05 | D | Your karma is not strong enough to damage such a beast. | +0H
01-05 | E | Your karma is not strong enough to damage such a beast. | +0H
06-10 | A | No Damage. Large creatures ignore criticals of severity A. | 
06-10 | B | It looked powerful but your foe did not even stumble. | +1H
06-10 | C | It looked powerful but your foe did not even stumble. | +1H
06-10 | D | It looked powerful but your foe did not even stumble. | +1H
06-10 | E | It looked powerful but your foe did not even stumble. | +1H
11-20 | A | No Damage. Large creatures ignore criticals of severity A. | 
11-20 | B | You are daunted by the beast's gaze and your aim fails. | +3H
11-20 | C | You are daunted by the beast's gaze and your aim fails. | +3H
11-20 | D | You are daunted by the beast's gaze and your aim fails. | +3H
11-20 | E | You are daunted by the beast's gaze and your aim fails. | +3H
21-30 | A | No Damage. Large creatures ignore criticals of severity A. | 
21-30 | B | The strike is powerful, but poorly placed. Remember, Focus. | +5H
21-30 | C | The strike is powerful, but poorly placed. Remember, Focus. | +5H
21-30 | D | The strike is powerful, but poorly placed. Remember, Focus. | +5H
21-30 | E | The strike is powerful, but poorly placed. Remember, Focus. | +5H
31-40 | A | No Damage. Large creatures ignore criticals of severity A. | 
31-40 | B | The attack lands well but seems only to scuff your foe's skin. | +7H
31-40 | C | The attack lands well but seems only to scuff your foe's skin. | +7H
31-40 | D | The attack lands well but seems only to scuff your foe's skin. | +7H
31-40 | E | The attack lands well but seems only to scuff your foe's skin. | +7H
41-50 | A | No Damage. Large creatures ignore criticals of severity A. | 
41-50 | B | Solid attack yields predictable damage. | +10H
41-50 | C | Solid attack yields predictable damage. | +10H
41-50 | D | Solid attack yields predictable damage. | +10H
41-50 | E | Solid attack yields predictable damage. | +10H
51-65 | A | No Damage. Large creatures ignore criticals of severity A. | 
51-65 | B | Weak attack to a vulnerable spot. Foe is enraged by the close call. | +13H
51-65 | C | Weak attack to a vulnerable spot. Foe is enraged by the close call. | +13H
51-65 | D | Weak attack to a vulnerable spot. Foe is enraged by the close call. | +13H
51-65 | E | Weak attack to a vulnerable spot. Foe is enraged by the close call. | +13H
66 | A | No Damage. Large creatures ignore criticals of severity A. | 
66 | B | Blast drives into foe's mouth. The concussion knocks him down and puts him into a coma for a month. | +30H
66 | C | Blast drives into foe's mouth. The concussion knocks him down and puts him into a coma for a month. | +30H
66 | D | Blast drives into foe's mouth. The concussion knocks him down and puts him into a coma for a month. | +30H
66 | E | Blast drives into foe's mouth. The concussion knocks him down and puts him into a coma for a month. | +30H
67-70 | A | No Damage. Large creatures ignore criticals of severity A. | 
67-70 | B | Solid strike on foe's leg. Foe feels the assault. | +15H
67-70 | C | Solid strike on foe's leg. Foe feels the assault. | +15H
67-70 | D | Solid strike on foe's leg. Foe feels the assault. | +15H
67-70 | E | Solid strike on foe's leg. Foe feels the assault. | +15H
