# Critical Strike Table 4.5 — Martial Arts Strikes
# Transcribed from author-supplied PDF (X:\RMFRPSuite\martialartsstrikes_crit.pdf).
#
@name:           Martial Arts Strikes
@table_number:   4.5
@crit_type_code:
@notes:
@column_axis:    severity
#
01-05 | A | Strike loses its power. | +0H
01-05 | B | Fine artistry, but no extra damage. | +0H
01-05 | C | Glancing blow makes a strange sound. | +1H
01-05 | D | You impress foe with your form. | +2H
01-05 | E | How did you botch this beautiful strike? | +3H
06-10 | A | Strike slows to a tap. | +1H
06-10 | B | Your master would be so embarrassed. | +2H
06-10 | C | Not so solid a strike. | +3H
06-10 | D | Foe steps out of most of the strike. | +4H
06-10 | E | Glancing strike makes foe respect you. | +5H
11-15 | A | You maneuver for a better position. You have initiative. | +3H
11-15 | B | Blow to shoulder. Foe steps back and yields the initiative to you. | —
11-15 | C | Forceful. Foe steps back. You have initiative. | +5H
11-15 | D | Kick foe's side. He stumbles out of the way. You have the initiative. | —
11-15 | E | You strike foe to unbalance him before you attempt a killing blow. | +7H – ∑
16-20 | A | You take an open shot to foe's side. You have initiative. | +4H
16-20 | B | Good shot! You have initiative for 2 rounds. | +5H
16-20 | C | Hard strike. Foe lashes out to avoid your next attack. | +6H – π
16-20 | D | Foe blocks your attack. He falls back to recover from your onslaught. | +8H – (π-10)
16-20 | E | Snappy double shot to ribs. Crack! Ribs are fractured. | +5H – ∑ – (-10)
21-35 | A | Light, but well placed strike. You are already starting your next attack. | +5H – π
21-35 | B | Strong, but poorly aimed strike forces foe to defend himself energetically. | +6H – π
21-35 | C | Grab foe and bring your knee into his ribs. The force of the strike throws him from your grasp. | +6H – ∑
21-35 | D | Blow to chest. Use your forehead in a brutal way to subdue foe. You have initiative for 3 rounds. | +3H – ∑
21-35 | E | Side strike jars foe's kidneys. Heavy bruise to muscles. Foe steps right into that one. He is in pain. | (-20)
36-45 | A | Mild strike to foe's chest. He can see your next strike coming and he attempts to block it. | +6H – (π-10)
